date,price,volume
1682900000,29298.68865,971000
1682910000,28669.92876,4386419
1682920000,28502.48771,1816228
1682930000,28594.34019,922457
1682940000,28534.59007,867826
1682950000,28366.69214,3599507
1682960000,28205.02523,3002104
1682970000,27918.64334,3090808
1682980000,28012.66746,1110004
1682990000,28027.22249,1204463
1683000000,27977.95102,808809
1683010000,28049.81189,725896
1683020000,28017.88257,790266
1683030000,28091.90236,1450966
1683040000,28430.09901,6158832
1683050000,28656.89415,1993596
1683060000,28714.92687,863763
1683070000,28674.69125,1184200
1683080000,28482.33312,1225242
1683090000,28494.24667,549015
1683100000,28650.30946,1526641
1683110000,28618.98391,784801
1683120000,28329.46416,3225169
1683130000,28377.23022,2167932
1683140000,28494.80389,4874198
1683150000,28924.59338,3003086
1683160000,29041.81371,1139585
1683170000,29077.92281,1017041
1683180000,29141.61832,1048342
1683190000,29063.79008,825831
1683200000,29194.81124,2531546
1683210000,28841.4187,3288643
1683220000,28850.73777,1260702
1683230000,28815.69305,824848
1683240000,28809.99845,362050
1683250000,29240.92679,3211841
1683260000,29223.51642,927131
1683270000,29135.85698,1264286
1683280000,29093.95992,673736
1683290000,29038.33369,4265209
1683300000,29405.19622,4351217
1683310000,29497.34119,1410493
1683320000,29503.53533,581088
1683330000,29660.49525,1526291
1683340000,29497.82715,1185267
1683350000,29353.58636,828005
1683360000,29282.01987,1530963
1683370000,29265.351,705373
1683380000,28849.89877,4391490
1683390000,28590.687,2037556
1683400000,28869.97368,1185219
1683410000,28786.28529,532433
1683420000,28951.60726,1464212
1683430000,28831.9993,817597
1683440000,28893.06237,548380
1683450000,28856.17296,821027
1683460000,28843.96912,919027
1683470000,28976.90591,1329717
1683480000,28916.23122,918170
1683490000,28863.38725,621728
1683500000,28601.37063,2666437
1683510000,28301.3102,3169676
1683520000,28158.16885,1431856
1683530000,27983.87122,2216257
1683540000,27805.0405,2179700
1683550000,27861.92449,1641931
1683560000,27892.72366,2029899
1683570000,27523.98002,3603322
1683580000,27451.0221,1282942
1683590000,27637.63132,871157
1683600000,27634.56874,881448
1683610000,27549.19227,1020495
1683620000,27587.68803,937476
1683630000,27663.72166,1284247
1683640000,27597.49064,2296076
1683650000,27523.36839,2105691
1683660000,27639.66421,882087
1683670000,27600.18927,427896
1683680000,27734.0571,1231517
1683690000,27683.33094,523089
1683700000,27605.75988,798060
1683710000,27559.72896,755908
1683720000,27985.90554,5432639
1683730000,28149.87727,2217440
1683740000,27386.6799,8396946
1683750000,27671.82976,3182578
1683760000,27597.39738,1018406
1683770000,27501.85463,1127434
1683780000,27465.78988,817832
1683790000,27423.54019,1339139
1683800000,27424.81696,683363
1683810000,27326.04882,4434867
1683820000,27120.83486,2392487
1683830000,26883.51563,3493792
1683840000,26962.77463,679994
1683850000,26969.17373,1059954
1683860000,26672.22559,2685651
1683870000,26330.41485,3580011
1683880000,26322.07031,1438133
1683890000,26391.93871,1027745
1683900000,26439.67519,2109627
1683910000,26325.68358,1160508
1683920000,26174.92634,4333035
1683930000,26716.65145,2279817
1683940000,26845.06275,1408173
1683950000,26799.85712,516057
1683960000,26765.75857,698128
1683970000,26812.10037,624190
1683980000,26843.97953,820106
1683990000,26798.14973,674477
1684000000,26883.17969,1037389
1684010000,26874.18106,595560
1684020000,26759.94815,1119223
1684030000,26746.05922,890267
1684040000,26840.25831,496135
1684050000,26862.5951,296370
1684060000,26825.69874,352914
1684070000,26845.34513,789481
1684080000,27043.33678,2362638
1684090000,26894.9279,691699
1684100000,26912.26128,342079
1684110000,26939.0745,2036306
1684120000,27204.38264,1803366
1684130000,27389.49328,2332206
1684140000,27409.42477,849983
1684150000,27383.16668,671415
1684160000,27374.78479,1956846
1684170000,27496.53874,2340523
1684180000,27381.8444,714885
1684190000,27257.83231,860150
1684200000,27058.03383,2672086
1684210000,27103.51413,762126
1684220000,27141.44508,1421203
1684230000,27121.57281,1564870
1684240000,27061.61086,1895999
1684250000,27001.83921,2039693
1684260000,27050.57729,1106046
1684270000,26968.33767,587140
1684280000,27044.6343,562939
1684290000,27134.8999,1104767
1684300000,27013.1241,1007838
1684310000,26856.82915,1824512
1684320000,26725.42019,2089212
1684330000,26691.13482,2326037
1684340000,26829.37179,1734589
1684350000,27224.71004,3067833
1684360000,27361.03166,1200766
1684370000,27385.79883,847468
1684380000,27337.67799,505288
1684390000,27236.58937,1039696
1684400000,27379.01707,1405622
1684410000,27343.29802,1549286
1684420000,27215.76246,3189794
1684430000,26756.80162,5447391
1684440000,26711.40144,1223249
1684450000,26898.59223,1135207
1684460000,26826.72,954582
1684470000,26845.70545,524641
1684480000,26898.99344,689706
1684490000,26852.66537,642004
1684500000,26904.20243,1156419
1684510000,26902.96339,4161383
1684520000,26882.93081,629782
1684530000,26864.15121,314340
1684540000,26872.1095,245599
1684550000,26860.17799,186776
1684560000,26866.01293,156208
1684570000,26885.78304,315976
1684580000,26893.29676,224025
1684590000,26907.65704,298448
1684600000,26981.77934,656578
1684610000,27070.65934,945803
1684620000,27027.8894,324544
1684630000,27188.34214,1160181
1684640000,27164.88879,304192
1684650000,27100.67808,532131
1684660000,27054.36091,459429
1684670000,26895.34177,2097466
1684680000,26907.48294,886989
1684690000,26877.32685,572782
1684700000,26764.90949,882096
1684710000,26769.55902,415571
1684720000,26617.03054,1714713
1684730000,26713.23147,631260
1684740000,26857.83403,1428480
1684750000,26836.93201,549578
1684760000,26901.80802,3373257
1684770000,26905.97001,1697638
1684780000,26846.40866,578842
1684790000,26903.98667,280555
1684800000,26862.81603,509964
1684810000,27211.69204,3753146
1684820000,27382.24085,1752457
1684830000,27288.95266,1057161
1684840000,27320.79429,631288
1684850000,27283.36973,1725175
1684860000,27262.08539,889541
1684870000,27168.75694,875114
1684880000,27219.84649,379329
1684890000,27171.9367,533079
1684900000,26849.57366,3706610
1684910000,26720.38057,1436072
1684920000,26751.02235,975943
1684930000,26708.28844,649580
1684940000,26317.39375,6586457
1684950000,26249.12964,1645596
1684960000,26366.28415,1564799
1684970000,26335.46172,602464
1684980000,26075.03985,2601858
1684990000,26223.86099,805197
1685000000,26206.41479,885503
1685010000,26247.19745,475430
1685020000,26375.33632,2545075
1685030000,26279.93954,1492732
1685040000,26461.17851,1824426
1685050000,26467.4441,323351
1685060000,26467.56245,923427
1685070000,26413.30334,557270
1685080000,26390.51925,464130
1685090000,26485.07039,857207
1685100000,26444.05769,700471
1685110000,26703.16383,3576030
1685120000,26729.77476,1258908
1685130000,26731.97406,629930
1685140000,26723.17609,259660
1685150000,26682.51132,406966
1685160000,26750.95312,355732
1685170000,26727.95832,303620
1685180000,26699.08209,296680
1685190000,26730.69722,465429
1685200000,26652.30893,934326
1685210000,26745.97707,703203
1685220000,26748.40917,183587
1685230000,26927.2379,1244227
1685240000,27101.34218,1883250
1685250000,27200.50431,1452788
1685260000,27198.05254,453764
1685270000,27229.76651,1259699
1685280000,27168.8447,879450
1685290000,27259.71919,975448
1685300000,27544.35256,3505372
1685310000,27972.24708,2548341
1685320000,28232.5083,3615265
1685330000,28009.7039,1670204
1685340000,27974.30519,995669
1685350000,27905.98344,1027772
1685360000,27868.65028,1068871
1685370000,27754.64623,2132197
1685380000,27632.26722,1846314
1685390000,27661.55745,390807
1685400000,27699.76321,839188
1685410000,27724.80849,711843
1685420000,27808.65334,957383
1685430000,27776.01232,583784
1685440000,27912.56161,1630428
1685450000,27898.81167,1921202
1685460000,27707.13799,2382391
1685470000,27736.17276,693992
1685480000,27772.2591,569646
1685490000,27718.17598,359648
1685500000,27686.62399,894320
1685510000,27226.78181,5132346
1685520000,27156.70074,1028970
1685530000,27098.64776,1366749
1685540000,27013.79931,3254877
1685550000,26963.16272,759422